#,,"generated_by='OpenQuake engine 3.19.0', start_date='2024-05-21T13:07:23', checksum=1184076472"
site_id,lon,lat
217,107.42272,-7.05890
218,107.42273,-7.07689
219,107.42273,-7.09488
220,107.42274,-7.11286
221,107.42274,-7.13085
222,107.42275,-7.14884
223,107.42275,-7.16682
224,107.42276,-7.18481
225,107.42276,-7.20280
226,107.42277,-7.22078
227,107.42277,-7.23877
228,107.42278,-7.25676
229,107.42278,-7.27474
230,107.42279,-7.29273
231,107.42279,-7.31071
232,107.42280,-7.32870
233,107.42280,-7.34669
234,107.42281,-7.36467
235,107.42281,-7.38266
236,107.42282,-7.40065
237,107.42282,-7.41863
238,107.42283,-7.43662
239,107.42283,-7.45461
240,107.42284,-7.47259
241,107.42285,-7.49058
242,107.42285,-7.50857
243,107.42286,-7.52655
244,107.42286,-7.54454
245,107.44081,-6.93300
246,107.44081,-6.95099
247,107.44082,-6.96897
248,107.44082,-6.98696
249,107.44083,-7.00495
250,107.44084,-7.02293
251,107.44084,-7.04092
252,107.44085,-7.05890
253,107.44085,-7.07689
254,107.44086,-7.09488
255,107.44086,-7.11286
256,107.44087,-7.13085
257,107.44088,-7.14884
258,107.44088,-7.16682
259,107.44089,-7.18481
260,107.44089,-7.20280
261,107.44090,-7.22078
262,107.44090,-7.23877
263,107.44091,-7.25676
264,107.44092,-7.27474
265,107.44092,-7.29273
266,107.44093,-7.31071
267,107.44093,-7.32870
268,107.44094,-7.34669
269,107.44095,-7.36467
270,107.44095,-7.38266
271,107.44096,-7.40065
272,107.44096,-7.41863
273,107.44097,-7.43662
274,107.44097,-7.45461
275,107.44098,-7.47259
276,107.44099,-7.49058
277,107.44099,-7.50857
278,107.44100,-7.52655
279,107.44100,-7.54454
280,107.45893,-6.93300
281,107.45893,-6.95099
282,107.45894,-6.96897
283,107.45895,-6.98696
284,107.45895,-7.00495
285,107.45896,-7.02293
286,107.45896,-7.04092
287,107.45897,-7.05890
288,107.45898,-7.07689
289,107.45898,-7.09488
290,107.45899,-7.11286
291,107.45900,-7.13085
292,107.45900,-7.14884
293,107.45901,-7.16682
294,107.45902,-7.18481
295,107.45902,-7.20280
296,107.45903,-7.22078
297,107.45904,-7.23877
298,107.45904,-7.25676
299,107.45905,-7.27474
300,107.45905,-7.29273
301,107.45906,-7.31071
302,107.45907,-7.32870
303,107.45907,-7.34669
304,107.45908,-7.36467
305,107.45909,-7.38266
306,107.45909,-7.40065
307,107.45910,-7.41863
308,107.45911,-7.43662
309,107.45911,-7.45461
310,107.45912,-7.47259
311,107.45913,-7.49058
312,107.45913,-7.50857
313,107.45914,-7.52655
314,107.45915,-7.54454
315,107.47705,-6.93300
316,107.47705,-6.95099
317,107.47706,-6.96897
318,107.47707,-6.98696
319,107.47707,-7.00495
320,107.47708,-7.02293
321,107.47709,-7.04092
322,107.47709,-7.05890
323,107.47710,-7.07689
324,107.47711,-7.09488
325,107.47712,-7.11286
326,107.47712,-7.13085
327,107.47713,-7.14884
328,107.47714,-7.16682
329,107.47714,-7.18481
330,107.47715,-7.20280
331,107.47716,-7.22078
